timestamp,drone_id,latitude,longitude,altitude,battery_voltage,vibration,temperature,humidity,airspeed,yaw,pitch,roll
2026-06-26T10:00:00,DRONE-05,39.99371,-74.006047,267.3,13.41,11.42,10.5,47.4,15.3,358.5,-1.6,-1.3
2026-06-26T10:00:05,DRONE-01,39.994614,-74.000971,167.1,20.17,6.26,29.6,64.6,12.0,277.0,-7.2,-7.0
2026-06-26T10:00:10,DRONE-03,40.024904,-73.997387,95.4,17.87,5.28,32.7,51.0,14.1,310.4,-7.2,2.5
2026-06-26T10:00:15,DRONE-02,40.007989,-73.997933,129.6,16.7,6.69,24.2,43.5,15.4,329.8,8.7,-5.0
2026-06-26T10:00:20,DRONE-01,39.990161,-74.011027,113.3,17.17,5.63,25.9,64.8,13.9,320.5,0.3,-0.2
2026-06-26T10:00:25,DRONE-04,40.012144,-74.000649,135.4,17.46,4.89,19.9,48.6,10.7,129.3,-4.5,4.6
2026-06-26T10:00:30,DRONE-04,40.001891,-74.005123,171.1,18.33,2.58,14.8,63.4,9.8,69.1,7.7,1.9
2026-06-26T10:00:35,DRONE-05,39.999086,-73.979591,135.2,20.12,2.63,18.9,45.2,6.1,257.0,1.1,0.8
2026-06-26T10:00:40,DRONE-05,39.996504,-74.007787,170.2,19.45,0.54,23.4,59.9,12.2,275.5,-4.1,2.3
2026-06-26T10:00:45,DRONE-04,39.99686,-73.999861,124.5,17.56,6.92,10.3,75.9,14.9,133.8,3.7,4.6
2026-06-26T10:00:50,DRONE-05,40.005982,-74.002614,122.5,16.8,3.91,24.2,49.7,8.7,90.8,11.0,2.3
2026-06-26T10:00:55,DRONE-05,40.002307,-74.014876,82.2,20.98,4.01,19.0,62.7,5.9,57.9,-4.9,2.8
2026-06-26T10:01:00,DRONE-01,40.016201,-74.008993,80.0,18.33,5.71,17.0,48.4,5.0,278.9,5.2,0.9
2026-06-26T10:01:05,DRONE-05,40.003841,-74.024165,145.6,20.03,3.32,20.5,64.9,9.4,151.3,-0.1,1.3
2026-06-26T10:01:10,DRONE-04,40.013377,-74.008663,129.8,17.8,2.98,24.5,57.2,5.1,105.1,-6.7,-2.2
2026-06-26T10:01:15,DRONE-03,39.987452,-74.003789,132.8,18.77,3.52,21.8,55.4,13.1,261.0,-0.2,-3.7
2026-06-26T10:01:20,DRONE-04,39.996296,-74.010107,111.1,20.71,2.96,18.6,81.6,19.0,195.9,0.3,-0.2
2026-06-26T10:01:25,DRONE-01,40.008953,-74.011981,88.1,17.42,1.51,20.6,56.1,4.6,42.2,2.1,-1.7
2026-06-26T10:01:30,DRONE-01,39.999814,-74.0031,106.7,20.68,3.25,21.9,54.3,7.6,353.3,-4.6,8.6
2026-06-26T10:01:35,DRONE-05,39.999824,-73.997185,121.4,15.02,5.07,14.6,39.3,13.2,235.8,-4.8,7.1
2026-06-26T10:01:40,DRONE-05,40.010589,-73.998254,171.3,17.85,1.6,23.2,58.7,16.8,135.3,2.1,3.7
2026-06-26T10:01:45,DRONE-02,39.989216,-73.993808,73.2,20.06,4.38,7.3,55.3,10.9,147.9,3.9,0.4
2026-06-26T10:01:50,DRONE-01,39.993214,-74.002547,180.2,18.43,3.1,17.1,70.2,15.1,93.5,-2.0,4.4
2026-06-26T10:01:55,DRONE-05,39.996919,-73.997098,103.3,19.09,1.75,18.9,67.7,8.6,312.5,-4.6,0.7
2026-06-26T10:02:00,DRONE-03,40.012723,-74.00807,145.7,17.47,3.21,25.4,51.6,16.7,217.7,-4.8,-0.2
2026-06-26T10:02:05,DRONE-03,39.980557,-74.001463,135.9,19.55,0.73,20.6,57.4,8.2,352.1,0.8,-3.4
2026-06-26T10:02:10,DRONE-02,39.998352,-73.988837,91.0,20.16,3.21,19.9,69.4,8.5,215.9,5.0,3.6
2026-06-26T10:02:15,DRONE-05,40.002423,-74.012007,90.7,18.37,0.81,10.3,36.0,13.9,160.7,-4.2,5.2
2026-06-26T10:02:20,DRONE-05,39.988508,-74.009831,139.9,18.34,3.13,19.9,74.9,20.5,356.8,-0.1,-2.5
2026-06-26T10:02:25,DRONE-04,40.005694,-74.005915,145.7,18.37,2.92,21.0,49.2,10.8,277.6,-2.8,3.1
2026-06-26T10:02:30,DRONE-03,40.012615,-73.988613,102.3,18.99,3.33,18.0,46.2,12.4,85.0,-2.6,5.8
2026-06-26T10:02:35,DRONE-02,39.974542,-73.993633,83.9,17.66,3.3,16.3,29.3,10.3,314.7,0.9,-0.1
2026-06-26T10:02:40,DRONE-03,39.980072,-74.008495,136.9,18.6,0.2,19.4,45.7,3.5,206.1,8.8,1.1
2026-06-26T10:02:45,DRONE-01,39.9981,-74.00495,93.1,18.61,2.77,27.1,63.6,9.9,343.7,-3.8,-4.4
2026-06-26T10:02:50,DRONE-02,40.001686,-73.989806,101.1,17.41,3.93,20.4,41.1,14.6,79.0,10.8,3.7
2026-06-26T10:02:55,DRONE-03,39.991052,-74.009339,93.1,15.15,2.05,20.7,38.3,10.6,219.9,-4.6,2.6
2026-06-26T10:03:00,DRONE-04,40.013699,-74.001773,43.0,18.06,4.47,20.2,49.3,14.0,40.0,-2.1,5.3
2026-06-26T10:03:05,DRONE-04,40.018956,-73.998918,162.9,17.22,2.07,16.6,60.3,7.9,132.4,-3.2,-0.8
2026-06-26T10:03:10,DRONE-02,39.990652,-74.000411,106.1,20.71,0.42,20.1,66.2,21.6,234.1,-0.4,-5.2
2026-06-26T10:03:15,DRONE-01,40.009281,-73.997394,90.1,16.13,3.92,17.0,64.4,12.4,188.8,2.0,4.8
2026-06-26T10:03:20,DRONE-04,40.000531,-74.006264,154.7,17.72,6.25,17.7,54.9,10.6,189.5,1.6,3.2
2026-06-26T10:03:25,DRONE-05,40.00107,-74.014956,117.0,19.11,3.59,22.1,49.0,12.1,201.8,10.3,-2.3
2026-06-26T10:03:30,DRONE-05,40.0034,-74.01546,97.3,18.73,1.46,15.9,56.7,17.6,152.5,5.0,-6.4
2026-06-26T10:03:35,DRONE-02,40.0077,-73.988538,104.6,18.77,4.32,9.4,41.8,15.1,222.4,-4.7,0.8
